,ABCGivenIDforGDGT,Experiment,Temp,RPM,pH,Replicate,GrowthCurves,RI
6,,2,70,200,2.05,OD1,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.013, 0.023, 0.047, 0.09, 0.071, 0.119, 0.14, 0.233, 0.339, 0.532, 0.568, 0.636, 0.739, 0.749)",3.32
7,,2,70,200,2.05,OD2,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.016, 0.021, 0.042, 0.083, 0.068, 0.115, 0.133, 0.242, 0.356, 0.531, 0.588, 0.639, 0.724, 0.655)",3.32
8,,2,70,200,2.05,OD3,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.013, 0.021, 0.043, 0.086, 0.067, 0.113, 0.132, 0.235, 0.342, 0.501, 0.585, 0.637, 0.736, 0.691)",3.31
9,,2,70,200,2.05,OD4,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.014, 0.023, 0.043, 0.076, 0.0059, 0.114, 0.138, 0.243, 0.342, 0.507, 0.614, 0.638, 0.727, 0.72)",3.47
10,,2,70,200,2.05,OD5,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.01, 0.019, 0.041, 0.082, 0.068, 0.119, 0.144, 0.259, 0.373, 0.552, 0.614, 0.646, 0.746, 0.722)",3.35
33,2,7,80,200,3,OD4,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.007, 0.0584, 0.1978, 0.4278, 0.5992, 1.0248, 1.1344, 1.265, 1.2992, 1.4814, 1.4074, 1.4982)",4.467807628
20,3,5,70,200,3,OD1,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.004, 0.0282, 0.1274, 0.2896, 0.413, 0.7178, 1.3494, 1.5236, 1.688, 1.774, 2.0188, 2.0494)",3.858590307
24,5,5,70,200,3,OD5,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.007, 0.0272, 0.0874, 0.179, 0.2396, 0.45, 0.678, 0.8942, 1.2698, 1.4618, 1.6662, 1.739)",3.69131328
34,7,7,80,200,3,OD5,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.0148, 0.0582, 0.1856, 0.4106, 0.6024, 1.0044, 1.3246, 1.5602, 1.6252, 1.672, 1.8756, 2.0166)",4.67352311
22,8,5,70,200,3,OD3,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.003, 0.0264, 0.1092, 0.2692, 0.4012, 0.7234, 1.0844, 1.2992, 1.6334, 1.7566, 1.9666, 2.0794)",3.66342981
28,9,6,75,200,3,OD4,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.0628, 0.0544, 0.1724, 0.3426, 0.5626, 1.0486, 1.2944, 1.414, 1.4844, 1.7202, 1.941, 2.0018)",3.509149695
23,12,5,70,200,3,OD4,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.0046, 0.0266, 0.094, 0.2208, 0.3358, 0.6364, 0.9844, 1.2868, 1.5252, 1.6136, 1.8456, 1.9282)",3.683256529
25,14,6,75,200,3,OD1,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.0162, 0.048, 0.1554, 0.3216, 0.4846, 0.8494, 1.1094, 1.2784, 1.4024, 1.4678, 1.5486, 1.5422)",4.144441937
26,15,6,75,200,3,OD2,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.032, 0.0494, 0.1346, 0.276, 0.4266, 0.75, 0.9578, 1.182, 1.3146, 1.3666, 1.457, 1.4694)",4.214593256
32,16,7,80,200,3,OD3,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.038, 0.0744, 0.2178, 0.4508, 0.63, 0.9686, 1.1896, 1.245, 1.3108, 1.4436, 1.4142, 1.5048)",4.611584145
27,17,6,75,200,3,OD3,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.028, 0.0722, 0.1496, 0.2872, 0.465, 0.8142, 1.0522, 1.2598, 1.4078, 1.4588, 1.5656, 1.5868)",4.18477736
21,18,5,70,200,3,OD2,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(0.0408, 0.0306, 0.1114, 0.2744, 0.4048, 0.705, 1.0818, 1.2868, 1.5566, 1.6954, 1.9188, 2.0198)",3.759480189
31,19,7,80,200,3,OD2,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.0078, 0.0654, 0.1958, 0.4338, 0.6328, 0.9868, 1.2366, 1.3178, 1.367, 1.247, 1.4934, 1.5748)",4.596579237
30,20,7,80,200,3,OD1,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.0206, 0.063, 0.2326, 0.4884, 0.7024, 1.043, 1.285, 1.3606, 1.3918, 1.4882, 1.5778, 1.669)",4.49987626
29,21,6,75,200,3,OD5,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.0268, 0.0588, 0.1414, 0.2676, 0.421, 0.716, 0.9718, 1.091, 1.261, 1.3288, 1.4218, 1.4472)",4.159884424
45,24,10,70,300,3,OD1,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-0.0054, 0.0278, 0.042, 0.0842, 0.1732, 0.3262, 0.5588, 0.891, 1.3378, 1.8258, 2.2592, 2.5874, 2.7682, 2.7992)",3.900636848
46,25,10,70,300,3,OD2,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-0.0054, 0.0292, 0.0424, 0.0892, 0.187, 0.3624, 0.5528, 0.889, 1.3164, 1.5328, 1.7048, 1.8598, 2.0404, 2.268)",3.679299648
47,26,10,70,300,3,OD3,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-8e-04, 0.0326, 0.0538, 0.1122, 0.2324, 0.4284, 0.607, 0.9364, 1.1264, 1.213, 1.2758, 1.359, 1.4338, 1.4754)",3.544235354
48,27,10,70,300,3,OD4,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(0.0016, 0.0398, 0.055, 0.1238, 0.2254, 0.4138, 0.6112, 0.9742, 1.866, 1.643, 1.8396, 2.0448, 2.2664, 2.4496)",3.43476668
49,28,10,70,300,3,OD5,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(0.0018, 0.0324, 0.0448, 0.092, 0.1828, 0.3354, 0.4736, 0.722, 0.9656, 1.0926, 1.1582, 1.2242, 1.2806, 1.3596)",3.410455519
35,30,8,70,50,3,OD1,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0.0014, 0.0164, 0.0302, 0.0692, 0.1026, 0.111, 0.117, 0.1406, 0.1606, 0.3204, 0.2598, 0.3134, 0.3572, 0.4302, 0.5374, 0.6082)",2.619091638
36,31,8,70,50,3,OD2,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0.0094, 0.024, 0.038, 0.085, 0.1522, 0.2104, 0.2686, 0.351, 0.4172, 0.489, 0.524, 0.5736, 0.6124, 0.6646, 0.704, 0.7278)",2.443705041
37,32,8,70,50,3,OD3,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0, 0.017, 0.0304, 0.0654, 0.117, 0.1406, 0.18, 0.2176, 0.2774, 0.3338, 0.3852, 0.4462, 0.4738, 0.5062, 0.5918, 0.6736)",2.394025109
38,33,8,70,50,3,OD4,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(-0.0016, 0.0184, 0.0296, 0.065, 0.1054, 0.1058, 0.1174, 0.162, 0.212, 0.2378, 0.2808, 0.3632, 0.4082, 0.441, 0.5526, 0.6724)",2.81980118
39,34,8,70,50,3,OD5,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(-0.0056, 0.019, 0.028, 0.0666, 0.1096, 0.1364, 0.1584, 0.189, 0.228, 0.2582, 0.293, 0.3448, 0.3788, 0.4126, 0.5422, 0.5986)",2.420736469
15,36,4,65,200,3,OD1,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.011, 0.0214, 0.0218, 0.0484, 0.1344, 0.2008, 0.337, 0.4338, 0.5308, 0.6698, 0.7574, 0.8726, 0.9982, 1.016, 1.0454, 1.0562, 1.0716, 1.1908, 1.2142, 1.2048, 1.2818, 1.2698)",3.615666576
16,37,4,65,200,3,OD2,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.0038, 0.023, 0.0196, 0.049, 0.1238, 0.1812, 0.293, 0.388, 0.4858, 0.64, 0.7698, 0.9178, 1.0466, 1.0624, 1.0874, 1.0994, 1.1328, 1.2416, 1.2852, 1.3404, 1.4396, 1.51)",3.59004278
17,38,4,65,200,3,OD3,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.0144, 0.0214, 0.0192, 0.0472, 0.1246, 0.177, 0.2798, 0.3764, 0.4682, 0.6038, 0.6836, 0.7922, 0.9018, 0.9296, 1.0364, 1.0482, 1.0498, 1.152, 1.145, 1.1666, 1.2024, 1.2282)",3.698323141
18,39,4,65,200,3,OD4,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.0098, 0.0262, 0.0304, 0.0508, 0.1404, 0.2092, 0.323, 0.413, 0.5256, 0.6738, 0.783, 0.9198, 1.0234, 1.012, 1.0418, 1.0652, 1.05, 1.1894, 1.2346, 1.2804, 1.369, 1.391)",3.550903408
19,40,4,65,200,3,OD5,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.005, 0.022, 0.0226, 0.0452, 0.1198, 0.1816, 0.2802, 0.368, 0.4856, 0.607, 0.7162, 0.8472, 0.9886, 0.9998, 1.0522, 1.0274, 1.0554, 1.1676, 1.223, 1.2428, 1.361, 1.4294)",3.603405008
40,42,9,70,125,3,OD1,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(-8e-04, 0.035, 0.0372, 0.1014, 0.3976, 0.5842, 0.8002, 0.9404, 1.0852, 1.2058, 1.2484, 1.3012, 1.3888, 1.376, 1.4736, 1.4892, 1.4614, 1.5694, 1.522, 1.45, 1.456, 1.3644)",3.798669412
41,43,9,70,125,3,OD2,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0038, 0.041, 0.0482, 0.1062, 0.3886, 0.588, 0.8948, 1.0814, 1.2306, 1.3156, 1.3772, 1.505, 1.607, 1.5932, 1.6508, 1.6194, 1.6136, 1.7598, 1.7342, 1.7244, 1.7248, 1.6664)",3.566795799
42,44,9,70,125,3,OD3,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(-0.0012, 0.0332, 0.0534, 0.1024, 0.359, 0.5416, 0.76, 0.8878, 1.0552, 1.1706, 1.2328, 1.3064, 1.3824, 1.3842, 1.467, 1.5088, 1.4744, 1.6296, 1.526, 1.442, 1.425, 1.3654)",3.620567834
43,45,9,70,125,3,OD4,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0026, 0.0282, 0.037, 0.097, 0.3532, 0.5136, 0.7886, 0.964, 1.1192, 1.2236, 1.2972, 1.3986, 1.5108, 1.5172, 1.659, 1.6298, 1.5806, 1.6788, 1.6168, 1.533, 1.5332, 1.4908)",3.452731715
44,46,9,70,125,3,OD5,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0064, 0.0234, 0.027, 0.07, 0.2372, 0.393, 0.5802, 0.7676, 0.9752, 1.119, 1.2014, 1.2954, 1.3694, 1.389, 1.525, 1.5572, 1.5954, 1.7172, 1.699, 1.6388, 1.6604, 1.6184)",3.578070599
1,,1,70,200,3.96,OD1,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.025, 0.038, 0.066, 0.117, 0.098, 0.17, 0.218, 0.308, 0.358, 0.39, 0.44, 0.467, 0.483)",3.08
2,,1,70,200,3.96,OD2,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.021, 0.028, 0.054, 0.096, 0.077, 0.147, 0.192, 0.291, 0.351, 0.388, 0.444, 0.477, 0.504)",2.98
3,,1,70,200,3.96,OD3,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.029, 0.042, 0.072, 0.123, 0.1, 0.183, 0.231, 0.314, 0.361, 0.397, 0.434, 0.475, 0.542)",3.08
4,,1,70,200,3.96,OD4,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.023, 0.033, 0.061, 0.112, 0.09, 0.165, 0.215, 0.302, 0.352, 0.387, 0.435, 0.467, 0.479)",3.04
5,,1,70,200,3.96,OD5,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.025, 0.037, 0.068, 0.125, 0.11, 0.17, 0.217, 0.308, 0.352, 0.385, 0.431, 0.447, 0.464)",2.97
